id,category,level,cefr,answer,sentence_en,sentence_ko,meaning,tts_text,display_sentence,frequency,chunk_type,difficulty_axis,use_case
389,shopping,3,B2-C1,sticker shock,I had ___ when I saw the price.,가격을 보고 깜짝 놀랐어요.,가격을 보고 받는 충격,I had sticker shock when I saw the price.,I had sticker shock when I saw the price.,high,collocation,meaning,"{""pricing"",""complaint""}"
390,shopping,3,B2-C1,comparison shopping,I always do ___ before a big purchase.,큰 구매 전에 항상 가격 비교를 해요.,가격 비교 쇼핑,I always do comparison shopping before a big purchase.,I always do comparison shopping before a big purchase.,high,collocation,meaning,"{""shopping"",""online_shopping""}"
391,shopping,3,B2-C1,pinch pennies,We've had to ___ lately.,요즘 우리는 한 푼이라도 아껴야 했어요.,한 푼이라도 아끼다,We've had to pinch pennies lately.,We've had to pinch pennies lately.,mid,idiom,meaning,"{""budget""}"
392,shopping,3,B2-C1,live within your means,It's wise to ___.,분수에 맞게 사는 게 현명해요.,분수에 맞게 살다,It's wise to live within your means.,It's wise to live within your means.,mid,idiom,meaning,"{""budget""}"
393,shopping,3,B2-C1,stretch your budget,These tips help you ___.,이 팁들은 예산을 늘려 쓰는 데 도움이 돼요.,예산을 알뜰하게 늘려 쓰다,These tips help you stretch your budget.,These tips help you stretch your budget.,mid,collocation,meaning,"{""budget""}"
394,shopping,3,B2-C1,a big-ticket item,A fridge is ___.,냉장고는 고가품이에요.,고가품,A fridge is a big-ticket item.,A fridge is a big-ticket item.,mid,idiom,meaning,"{""payment""}"
395,shopping,3,B2-C1,watch your spending,You should ___ this month.,이번 달은 지출을 조심하는 게 좋아요.,지출을 조심하다,You should watch your spending this month.,You should watch your spending this month.,high,collocation,usage,"{""budget""}"
396,shopping,3,B2-C1,think twice about,I'd ___ that purchase.,그 구매는 다시 한번 생각해 보겠어요.,~을 다시 한번 신중히 생각하다,I'd think twice about that purchase.,I'd think twice about that purchase.,high,idiom,usage,"{""budget""}"
397,shopping,3,B2-C1,hold off on buying,Let's ___ for now.,지금은 사는 걸 좀 미뤄요.,사는 것을 미루다,Let's hold off on buying for now.,Let's hold off on buying for now.,mid,phrasal_verb,usage,"{""budget""}"
398,shopping,3,B2-C1,wait for the sale,I'd rather ___.,저는 차라리 세일을 기다리겠어요.,세일을 기다리다,I'd rather wait for the sale.,I'd rather wait for the sale.,mid,collocation,usage,"{""bargain""}"
399,shopping,3,B2-C1,a money pit,That car is ___.,그 차는 돈 먹는 하마예요.,돈 먹는 하마,That car is a money pit.,That car is a money pit.,low,idiom,meaning,"{""budget""}"
400,shopping,3,B2-C1,worth the splurge,This bag is ___.,이 가방은 큰맘 먹고 살 만해요.,큰맘 먹고 살 만한,This bag is worth the splurge.,This bag is worth the splurge.,mid,collocation,meaning,"{""payment""}"
401,shopping,3,B2-C1,a fair price,That sounds like ___.,그 정도면 적정한 가격 같네요.,적정한 가격,That sounds like a fair price.,That sounds like a fair price.,high,collocation,usage,"{""bargain""}"
402,shopping,3,B2-C1,negotiate the price,You can try to ___.,가격을 흥정해 볼 수 있어요.,가격을 흥정하다,You can try to negotiate the price.,You can try to negotiate the price.,mid,collocation,usage,"{""bargain""}"
403,shopping,3,B2-C1,get more bang for your buck,This deal lets you ___.,이 상품은 본전을 더 뽑게 해줘요.,투자한 돈값을 더 뽑다,This deal lets you get more bang for your buck.,This deal lets you get more bang for your buck.,mid,idiom,meaning,"{""bargain""}"
404,shopping,3,B2-C1,a once-in-a-lifetime deal,This is ___.,이건 평생 한 번 올까 말까 한 기회예요.,평생 한 번뿐인 특가,This is a once-in-a-lifetime deal.,This is a once-in-a-lifetime deal.,mid,idiom,meaning,"{""bargain""}"
405,shopping,3,B2-C1,an impulse purchase,It was totally ___.,그건 완전히 충동구매였어요.,충동구매,It was totally an impulse purchase.,It was totally an impulse purchase.,high,collocation,meaning,"{""budget""}"
406,shopping,3,B2-C1,retail therapy,I needed some ___.,저는 기분 전환용 쇼핑이 좀 필요했어요.,기분 전환용 쇼핑,I needed some retail therapy.,I needed some retail therapy.,mid,idiom,meaning,"{""shopping""}"
407,shopping,3,B2-C1,the going rate,That's about ___.,그게 대략 시세예요.,"시세, 통상 가격",That's about the going rate.,That's about the going rate.,mid,idiom,meaning,"{""bargain""}"
408,shopping,3,B2-C1,a premium brand,They only buy ___.,그들은 고급 브랜드만 사요.,고급 브랜드,They only buy a premium brand.,They only buy a premium brand.,mid,collocation,meaning,"{""shopping""}"
409,shopping,3,B2-C1,a counterfeit,Watch out for ___.,위조품을 조심하세요.,"위조품, 가짜",Watch out for a counterfeit.,Watch out for a counterfeit.,mid,single_word,meaning,"{""online""}"
410,shopping,3,B2-C1,overpriced,That café is so ___.,그 카페는 너무 비싸요.,값이 너무 비싼,That café is so overpriced.,That café is so overpriced.,high,single_word,meaning,"{""payment""}"
411,shopping,3,B2-C1,within budget,Let's keep it ___.,예산 안에서 해결합시다.,예산 안에서,Let's keep it within budget.,Let's keep it within budget.,high,collocation,usage,"{""budget""}"
412,shopping,3,B2-C1,a no-brainer,"At that price, it's ___.",그 가격이면 고민할 것도 없어요.,고민할 것도 없는 일,"At that price, it's a no-brainer.","At that price, it's a no-brainer.",mid,idiom,meaning,"{""bargain""}"
413,shopping,3,B2-C1,second-hand,I bought it ___.,저는 그걸 중고로 샀어요.,중고의,I bought it second-hand.,I bought it second-hand.,high,collocation,meaning,"{""shopping""}"
414,shopping,3,B2-C1,weigh the cost,You should ___ first.,먼저 비용을 잘 따져 봐야 해요.,비용을 따져 보다,You should weigh the cost first.,You should weigh the cost first.,mid,collocation,meaning,"{""budget""}"
415,shopping,3,B2-C1,bargain hunter,She's a real ___.,그녀는 진짜 알뜰 쇼핑족이에요.,알뜰 쇼핑족,She's a real bargain hunter.,She's a real bargain hunter.,mid,collocation,meaning,"{""bargain""}"
416,shopping,3,B2-C1,over the odds,We ended up paying ___.,우리는 결국 바가지를 썼어요.,(시세보다) 비싸게,We ended up paying over the odds.,We ended up paying over the odds.,low,idiom,meaning,"{""payment""}"
417,shopping,3,B2-C1,loyalty program,They have a great ___.,그곳은 멤버십 적립 제도가 아주 좋아요.,단골 우대/적립 제도,They have a great loyalty program.,They have a great loyalty program.,mid,collocation,meaning,"{""payment""}"
418,shopping,3,B2-C1,shop till you drop,Let us ___ this weekend.,이번 주말엔 지칠 때까지 쇼핑하자.,지칠 때까지 쇼핑하다,Let us shop till you drop this weekend.,Let us shop till you drop this weekend.,mid,idiom,meaning,"{""shopping""}"
419,shopping,3,B2-C1,free returns,They offer ___.,그곳은 무료 반품을 제공해요.,무료 반품,They offer free returns.,They offer free returns.,mid,collocation,usage,"{""online"",""refund""}"
420,shopping,3,B2-C1,a flash deal,I grabbed ___.,저는 반짝 특가를 잡았어요.,반짝 특가,I grabbed a flash deal.,I grabbed a flash deal.,mid,collocation,meaning,"{""bargain"",""online""}"
421,restaurant,1,A1-A2,menu,Can I see the ___?,메뉴 좀 볼 수 있을까요?,메뉴,Can I see the menu?,Can I see the menu?,high,single_word,meaning,"{""restaurant"",""ordering""}"
422,restaurant,1,A1-A2,order,Are you ready to ___?,주문하시겠어요?,주문하다,Are you ready to order?,Are you ready to order?,high,single_word,meaning,"{""restaurant"",""ordering""}"
423,restaurant,1,A1-A2,water,Could I get some ___?,물 좀 주시겠어요?,물,Could I get some water?,Could I get some water?,high,single_word,meaning,"{""restaurant"",""drinks""}"
424,restaurant,1,A1-A2,delicious,This soup is so ___.,이 수프 정말 맛있어요.,맛있는,This soup is so delicious.,This soup is so delicious.,high,single_word,spelling,"{""restaurant"",""compliment""}"
425,restaurant,1,A1-A2,bill,"Can we have the ___, please?",계산서 주시겠어요?,계산서,"Can we have the bill, please?","Can we have the bill, please?",high,single_word,meaning,"{""restaurant"",""payment""}"
426,restaurant,1,A1-A2,table,I'd like a ___ for two.,두 명 자리 부탁해요.,"테이블, 자리",I'd like a table for two.,I'd like a table for two.,high,single_word,meaning,"{""restaurant"",""seating""}"
427,restaurant,1,A1-A2,spicy,Is this dish very ___?,이 음식 많이 매워요?,매운,Is this dish very spicy?,Is this dish very spicy?,high,single_word,meaning,"{""restaurant"",""food""}"
428,restaurant,1,A1-A2,hungry,I'm really ___ now.,지금 정말 배고파요.,배고픈,I'm really hungry now.,I'm really hungry now.,high,single_word,spelling,"{""restaurant"",""daily""}"
429,restaurant,1,A1-A2,coffee,"I'll have a ___, please.",커피 한 잔 주세요.,커피,"I'll have a coffee, please.","I'll have a coffee, please.",high,single_word,pronunciation,"{""restaurant"",""drinks""}"
430,restaurant,1,A1-A2,more,Could I have some ___ rice?,밥 좀 더 주시겠어요?,더,Could I have some more rice?,Could I have some more rice?,high,single_word,usage,"{""restaurant"",""ordering""}"
431,restaurant,1,A1-A2,fork,Could you bring me a ___?,포크 좀 갖다주시겠어요?,포크,Could you bring me a fork?,Could you bring me a fork?,high,single_word,meaning,"{""restaurant"",""utensils""}"
432,restaurant,1,A1-A2,drink,What would you like to ___?,뭐 드시겠어요?,마시다,What would you like to drink?,What would you like to drink?,high,single_word,meaning,"{""restaurant"",""drinks""}"
433,restaurant,1,A1-A2,tasty,The chicken was really ___.,치킨이 정말 맛있었어요.,맛있는,The chicken was really tasty.,The chicken was really tasty.,high,single_word,spelling,"{""restaurant"",""compliment""}"
434,restaurant,1,A1-A2,ready,I'm not ___ to order yet.,아직 주문할 준비가 안 됐어요.,준비된,I'm not ready to order yet.,I'm not ready to order yet.,high,single_word,usage,"{""restaurant"",""ordering""}"
435,restaurant,1,A1-A2,eat,Where should we ___ tonight?,오늘 밤 어디서 먹을까요?,먹다,Where should we eat tonight?,Where should we eat tonight?,high,single_word,meaning,"{""restaurant"",""daily""}"
436,restaurant,1,A1-A2,full,"I'm so ___, thank you.","너무 배불러요, 고마워요.",배부른,"I'm so full, thank you.","I'm so full, thank you.",high,single_word,meaning,"{""restaurant"",""food""}"
437,restaurant,1,A1-A2,salt,Could you pass the ___?,소금 좀 건네주시겠어요?,소금,Could you pass the salt?,Could you pass the salt?,high,single_word,meaning,"{""restaurant"",""dining""}"
438,restaurant,1,A1-A2,dessert,Would you like any ___?,디저트 드시겠어요?,디저트,Would you like any dessert?,Would you like any dessert?,high,single_word,spelling,"{""restaurant"",""ordering""}"
439,restaurant,1,A1-A2,napkin,Can I have a ___?,냅킨 하나 주시겠어요?,냅킨,Can I have a napkin?,Can I have a napkin?,high,single_word,spelling,"{""restaurant"",""utensils""}"
440,restaurant,1,A1-A2,hot,"Be careful, the plate is ___.","조심하세요, 접시가 뜨거워요.",뜨거운,"Be careful, the plate is hot.","Be careful, the plate is hot.",high,single_word,meaning,"{""restaurant"",""safety""}"
441,restaurant,1,A1-A2,plate,Could I get a clean ___?,깨끗한 접시 하나 주시겠어요?,접시,Could I get a clean plate?,Could I get a clean plate?,high,single_word,meaning,"{""restaurant"",""utensils""}"
442,restaurant,1,A1-A2,sweet,This cake is too ___ for me.,이 케이크는 제겐 너무 달아요.,단,This cake is too sweet for me.,This cake is too sweet for me.,high,single_word,meaning,"{""restaurant"",""food""}"
443,restaurant,1,A1-A2,tea,I'll have some green ___.,녹차 마실게요.,차,I'll have some green tea.,I'll have some green tea.,high,single_word,meaning,"{""restaurant"",""drinks""}"
444,restaurant,1,A1-A2,takeout,Is this for ___?,포장이세요?,포장,Is this for takeout?,Is this for takeout?,high,single_word,meaning,"{""restaurant"",""ordering""}"
445,restaurant,1,A1-A2,fresh,Is the fish ___?,생선이 신선한가요?,신선한,Is the fish fresh?,Is the fish fresh?,high,single_word,meaning,"{""restaurant"",""food""}"
446,restaurant,1,A1-A2,wait,How long is the ___?,얼마나 기다려야 해요?,"기다림, 대기",How long is the wait?,How long is the wait?,high,single_word,usage,"{""restaurant"",""seating""}"
447,restaurant,1,A1-A2,soup,What kind of ___ do you have?,어떤 수프가 있어요?,수프,What kind of soup do you have?,What kind of soup do you have?,high,single_word,meaning,"{""restaurant"",""ordering""}"
448,restaurant,1,A1-A2,steak,"I'll have the ___, please.",스테이크로 할게요.,스테이크,"I'll have the steak, please.","I'll have the steak, please.",high,single_word,pronunciation,"{""restaurant"",""ordering""}"
449,restaurant,1,A1-A2,bread,Could we get some ___?,빵 좀 주시겠어요?,빵,Could we get some bread?,Could we get some bread?,high,single_word,meaning,"{""restaurant"",""food""}"
450,restaurant,1,A1-A2,check,"Can I have the ___, please?",계산서 주시겠어요?,계산서 (미국식),"Can I have the check, please?","Can I have the check, please?",high,single_word,usage,"{""restaurant"",""payment""}"
451,restaurant,1,A1-A2,spoon,I need a ___ for my soup.,수프 먹을 숟가락이 필요해요.,숟가락,I need a spoon for my soup.,I need a spoon for my soup.,high,single_word,meaning,"{""restaurant"",""utensils""}"
452,restaurant,1,A1-A2,cold,My food is a bit ___.,음식이 좀 식었어요.,차가운,My food is a bit cold.,My food is a bit cold.,high,single_word,meaning,"{""restaurant"",""complaint""}"
453,restaurant,1,A1-A2,Enjoy,___ your meal!,맛있게 드세요!,즐기다,Enjoy your meal!,Enjoy your meal!,high,single_word,usage,"{""restaurant"",""service""}"
454,restaurant,1,A1-A2,vegetarian,Do you have any ___ options?,채식 메뉴가 있나요?,채식주의자용,Do you have any vegetarian options?,Do you have any vegetarian options?,high,single_word,spelling,"{""restaurant"",""dietary""}"
455,restaurant,1,A1-A2,outside,Can we sit ___?,밖에 앉을 수 있을까요?,"밖에, 야외에",Can we sit outside?,Can we sit outside?,high,single_word,meaning,"{""restaurant"",""seating""}"
456,restaurant,1,A1-A2,price,What's the ___ of the pasta?,파스타 가격이 얼마예요?,가격,What's the price of the pasta?,What's the price of the pasta?,high,single_word,meaning,"{""restaurant"",""payment""}"
457,restaurant,1,A1-A2,popular,What's the most ___ dish here?,여기서 제일 인기 있는 음식이 뭐예요?,인기 있는,What's the most popular dish here?,What's the most popular dish here?,high,single_word,spelling,"{""restaurant"",""ordering""}"
458,restaurant,1,A1-A2,glass,Can I get another ___ of water?,물 한 잔 더 주시겠어요?,"잔, 유리잔",Can I get another glass of water?,Can I get another glass of water?,high,single_word,meaning,"{""restaurant"",""drinks""}"
459,restaurant,1,A1-A2,tip,Did you leave a ___?,팁 남겼어요?,팁,Did you leave a tip?,Did you leave a tip?,high,single_word,meaning,"{""restaurant"",""payment""}"
460,restaurant,1,A1-A2,lunch,What's good for ___?,점심으로 뭐가 좋아요?,점심,What's good for lunch?,What's good for lunch?,high,single_word,meaning,"{""restaurant"",""ordering""}"
461,restaurant,1,A1-A2,dinner,Let's go out for ___.,저녁 먹으러 나가요.,저녁 식사,Let's go out for dinner.,Let's go out for dinner.,high,single_word,meaning,"{""restaurant"",""daily""}"
462,restaurant,1,A1-A2,sauce,Can I have extra ___?,소스 좀 더 주시겠어요?,소스,Can I have extra sauce?,Can I have extra sauce?,high,single_word,meaning,"{""restaurant"",""ordering""}"
463,restaurant,1,A1-A2,reservation,I have a ___ under Lee.,이 씨 이름으로 예약했어요.,예약,I have a reservation under Lee.,I have a reservation under Lee.,high,single_word,spelling,"{""restaurant"",""booking""}"
464,restaurant,1,A1-A2,salty,This pasta is a little too ___.,이 파스타는 좀 너무 짜요.,짠,This pasta is a little too salty.,This pasta is a little too salty.,high,single_word,meaning,"{""restaurant"",""food""}"
465,restaurant,1,A1-A2,portion,That's a huge ___!,양이 엄청 많네요!,"1인분, 양",That's a huge portion!,That's a huge portion!,mid,single_word,meaning,"{""restaurant"",""food""}"
466,restaurant,1,A1-A2,waiter,"Excuse me, ___!","저기요, 웨이터!",웨이터,"Excuse me, waiter!","Excuse me, waiter!",high,single_word,meaning,"{""restaurant"",""service""}"
467,restaurant,1,A1-A2,fried,I'll have the ___ chicken.,프라이드 치킨으로 할게요.,튀긴,I'll have the fried chicken.,I'll have the fried chicken.,high,single_word,meaning,"{""restaurant"",""ordering""}"
468,restaurant,1,A1-A2,grilled,Can I get ___ salmon instead?,구운 연어로 바꿀 수 있을까요?,구운,Can I get grilled salmon instead?,Can I get grilled salmon instead?,high,single_word,spelling,"{""restaurant"",""ordering""}"
469,restaurant,1,A1-A2,crowded,It's so ___ in here tonight.,오늘 밤은 여기가 정말 붐비네요.,"붐비는, 혼잡한",It's so crowded in here tonight.,It's so crowded in here tonight.,high,single_word,spelling,"{""restaurant"",""seating""}"
470,restaurant,1,A1-A2,birthday,We're here to celebrate a ___.,생일 축하하러 왔어요.,생일,We're here to celebrate a birthday.,We're here to celebrate a birthday.,high,single_word,spelling,"{""restaurant"",""special_occasion""}"
471,restaurant,1,A1-A2,change,Can I ___ my order?,주문을 바꿀 수 있을까요?,바꾸다,Can I change my order?,Can I change my order?,high,single_word,usage,"{""restaurant"",""ordering""}"
472,restaurant,1,A1-A2,share,Can we ___ this dish?,이 요리를 나눠 먹을 수 있을까요?,나누다,Can we share this dish?,Can we share this dish?,high,single_word,usage,"{""restaurant"",""dining""}"
473,restaurant,1,A1-A2,open,Are you ___ for lunch?,점심 시간에 영업해요?,영업 중인,Are you open for lunch?,Are you open for lunch?,high,single_word,usage,"{""restaurant"",""booking""}"
474,restaurant,1,A1-A2,cook,Can you ___ it a bit more?,조금 더 익혀 주시겠어요?,"요리하다, 익히다",Can you cook it a bit more?,Can you cook it a bit more?,high,single_word,meaning,"{""restaurant"",""ordering""}"
475,restaurant,1,A1-A2,raw,This meat is still ___.,이 고기가 아직 덜 익었어요.,"날것의, 덜 익은",This meat is still raw.,This meat is still raw.,mid,single_word,meaning,"{""restaurant"",""complaint""}"
476,restaurant,1,A1-A2,smoking,Is this the non-___ section?,여기가 금연 구역인가요?,흡연,Is this the non-smoking section?,Is this the non-smoking section?,mid,single_word,meaning,"{""restaurant"",""seating""}"
477,restaurant,1,A1-A2,free,Is the Wi-Fi ___ here?,여기 와이파이 무료예요?,무료의,Is the Wi-Fi free here?,Is the Wi-Fi free here?,high,single_word,usage,"{""restaurant"",""daily""}"
478,restaurant,1,A1-A2,refund,Can I get a ___?,환불받을 수 있을까요?,환불,Can I get a refund?,Can I get a refund?,mid,single_word,meaning,"{""restaurant"",""payment""}"
479,restaurant,1,A1-A2,vegetable,Can I get extra ___ on the side?,야채를 추가로 옆에 주시겠어요?,야채,Can I get extra vegetable on the side?,Can I get extra vegetable on the side?,high,single_word,spelling,"{""restaurant"",""dietary""}"
480,restaurant,1,A1-A2,chef,The ___ here is excellent.,여기 셰프가 정말 뛰어나요.,"요리사, 셰프",The chef here is excellent.,The chef here is excellent.,high,single_word,pronunciation,"{""restaurant"",""compliment""}"
481,restaurant,1,A1-A2,awful,The smell in there was ___.,거기 냄새가 정말 끔찍했어요.,끔찍한,The smell in there was awful.,The smell in there was awful.,mid,single_word,meaning,"{""restaurant"",""complaint""}"
482,restaurant,1,A1-A2,flavor,This sauce has great ___.,이 소스는 맛이 훌륭해요.,"맛, 풍미",This sauce has great flavor.,This sauce has great flavor.,high,single_word,spelling,"{""restaurant"",""food""}"
483,restaurant,1,A1-A2,stuffed,I'm absolutely ___ after that meal.,그 식사 후로 너무 배불러요.,배가 꽉 찬,I'm absolutely stuffed after that meal.,I'm absolutely stuffed after that meal.,high,single_word,meaning,"{""restaurant"",""food""}"
484,restaurant,1,A1-A2,knife,"Could I have a ___, please?",칼 좀 주시겠어요?,"칼, 나이프","Could I have a knife, please?","Could I have a knife, please?",high,single_word,meaning,"{""restaurant"",""utensils""}"
485,restaurant,1,A1-A2,slow,The service is a bit ___ today.,오늘 서비스가 좀 느리네요.,느린,The service is a bit slow today.,The service is a bit slow today.,high,single_word,meaning,"{""restaurant"",""complaint""}"
486,restaurant,1,A1-A2,mild,Is there a ___ version of this?,이것의 순한 버전이 있나요?,"순한, 맵지 않은",Is there a mild version of this?,Is there a mild version of this?,high,single_word,meaning,"{""restaurant"",""food""}"
487,restaurant,1,A1-A2,soup of the day,What is the ___?,오늘의 수프는 뭐예요?,오늘의 수프,What is the soup of the day?,What is the soup of the day?,high,collocation,usage,"{""restaurant"",""ordering""}"
488,restaurant,1,A1-A2,local,Do you use ___ ingredients?,지역 재료를 사용하나요?,지역의,Do you use local ingredients?,Do you use local ingredients?,mid,single_word,meaning,"{""restaurant"",""food""}"
489,restaurant,1,A1-A2,closing time,What is your ___?,영업 종료 시간이 언제예요?,영업 종료 시간,What is your closing time?,What is your closing time?,high,collocation,usage,"{""restaurant"",""booking""}"
490,restaurant,1,A1-A2,noisy,It's a bit too ___ in here.,여기가 좀 너무 시끄러워요.,시끄러운,It's a bit too noisy in here.,It's a bit too noisy in here.,high,single_word,meaning,"{""restaurant"",""complaint""}"
491,restaurant,2,B1,recommend,What would you ___ for a first-timer?,처음 온 사람에게 뭘 추천하시겠어요?,추천하다,What would you recommend for a first-timer?,What would you recommend for a first-timer?,high,single_word,spelling,"{""restaurant"",""ordering""}"
492,restaurant,2,B1,allergic to,I'm ___ peanuts.,전 땅콩 알레르기가 있어요.,~에 알레르기가 있는,I'm allergic to peanuts.,I'm allergic to peanuts.,high,collocation,usage,"{""restaurant"",""dietary"",""health""}"
493,restaurant,2,B1,make a reservation,I'd like to ___ for Friday.,금요일로 예약하고 싶어요.,예약하다,I'd like to make a reservation for Friday.,I'd like to make a reservation for Friday.,high,collocation,usage,"{""restaurant"",""booking""}"
494,restaurant,2,B1,split the bill,Shall we ___?,각자 계산할까요?,비용을 나누다,Shall we split the bill?,Shall we split the bill?,high,collocation,usage,"{""restaurant"",""payment""}"
495,restaurant,2,B1,well done,I'd like my steak ___.,스테이크를 완전히 익혀 주세요.,바싹 익힌,I'd like my steak well done.,I'd like my steak well done.,high,collocation,usage,"{""restaurant"",""ordering""}"
496,restaurant,2,B1,leftovers,Can I take the ___ home?,남은 음식 싸 갈 수 있을까요?,남은 음식,Can I take the leftovers home?,Can I take the leftovers home?,high,single_word,spelling,"{""restaurant"",""food""}"
497,restaurant,2,B1,on the house,Dessert is ___ tonight.,오늘 디저트는 서비스예요.,가게에서 무료로 주는,Dessert is on the house tonight.,Dessert is on the house tonight.,high,idiom,meaning,"{""restaurant"",""payment""}"
498,restaurant,2,B1,eat out,We usually ___ on Fridays.,우리는 보통 금요일에 외식해요.,외식하다,We usually eat out on Fridays.,We usually eat out on Fridays.,high,phrasal_verb,usage,"{""restaurant"",""daily""}"
499,restaurant,2,B1,the specials,What are ___ today?,오늘 특선 메뉴가 뭐예요?,특선 요리,What are the specials today?,What are the specials today?,high,collocation,meaning,"{""restaurant"",""ordering""}"
500,restaurant,2,B1,medium rare,I'll have my steak ___.,스테이크는 미디엄 레어로 할게요.,미디엄 레어,I'll have my steak medium rare.,I'll have my steak medium rare.,high,collocation,pronunciation,"{""restaurant"",""ordering""}"
501,restaurant,2,B1,a table for,Could we get ___ four?,네 명 자리 받을 수 있을까요?,~명 자리,Could we get a table for four?,Could we get a table for four?,high,sentence_frame,usage,"{""restaurant"",""seating""}"
502,restaurant,2,B1,to go,I'll have the burger ___.,버거는 포장으로 할게요.,포장으로,I'll have the burger to go.,I'll have the burger to go.,high,collocation,usage,"{""restaurant"",""ordering""}"
503,restaurant,2,B1,run out of,"Sorry, we've ___ the salmon.","죄송해요, 연어가 다 떨어졌어요.",다 떨어지다,"Sorry, we've run out of the salmon.","Sorry, we've run out of the salmon.",high,phrasal_verb,usage,"{""restaurant"",""ordering""}"
504,restaurant,2,B1,pick up the tab,Let me ___ tonight.,오늘은 제가 계산할게요.,계산을 맡다,Let me pick up the tab tonight.,Let me pick up the tab tonight.,high,idiom,meaning,"{""restaurant"",""payment""}"
505,restaurant,2,B1,on the side,Can I get the sauce ___?,소스는 따로 주시겠어요?,따로,Can I get the sauce on the side?,Can I get the sauce on the side?,high,collocation,usage,"{""restaurant"",""ordering""}"
506,restaurant,2,B1,fully booked,I'm afraid we're ___ tonight.,죄송하지만 오늘 밤은 예약이 다 찼어요.,예약이 꽉 찬,I'm afraid we're fully booked tonight.,I'm afraid we're fully booked tonight.,high,collocation,usage,"{""restaurant"",""booking""}"
507,restaurant,2,B1,grab a coffee,Want to ___ after lunch?,점심 후에 커피 한잔할래요?,커피를 마시다,Want to grab a coffee after lunch?,Want to grab a coffee after lunch?,high,collocation,usage,"{""restaurant"",""drinks"",""social""}"
508,restaurant,2,B1,watch my weight,"I'm trying to ___, so just a salad.",체중 관리 중이라 샐러드만 할게요.,체중을 관리하다,"I'm trying to watch my weight, so just a salad.","I'm trying to watch my weight, so just a salad.",high,collocation,usage,"{""restaurant"",""dietary""}"
509,restaurant,2,B1,dig in,"The food's ready, let's ___.","음식 나왔어요, 맛있게 먹어요.",먹기 시작하다,"The food's ready, let's dig in.","The food's ready, let's dig in.",high,phrasal_verb,meaning,"{""restaurant"",""dining""}"
510,restaurant,2,B1,cut down on,I'm trying to ___ sugar.,설탕을 줄이려고 노력 중이에요.,~을 줄이다,I'm trying to cut down on sugar.,I'm trying to cut down on sugar.,high,phrasal_verb,usage,"{""restaurant"",""dietary"",""health""}"
511,restaurant,2,B1,set the table,Could you ___ for dinner?,저녁 먹게 상 좀 차려 줄래요?,상을 차리다,Could you set the table for dinner?,Could you set the table for dinner?,high,collocation,usage,"{""restaurant"",""dining"",""daily""}"
512,restaurant,2,B1,a craving for,I have ___ something sweet.,뭔가 단 게 너무 당겨요.,~에 대한 식욕/갈망,I have a craving for something sweet.,I have a craving for something sweet.,high,collocation,usage,"{""restaurant"",""food""}"
513,restaurant,2,B1,take your order,I'm ready to ___ now.,지금 주문 받을게요.,주문을 받다,I'm ready to take your order now.,I'm ready to take your order now.,high,collocation,usage,"{""restaurant"",""service""}"
514,restaurant,2,B1,a doggy bag,Could I get ___?,남은 거 포장해 주시겠어요?,남은 음식 포장 봉투,Could I get a doggy bag?,Could I get a doggy bag?,high,collocation,meaning,"{""restaurant"",""food""}"
515,restaurant,2,B1,get a refill,Could I ___ on the coffee?,커피 리필 좀 해 주시겠어요?,리필하다,Could I get a refill on the coffee?,Could I get a refill on the coffee?,high,collocation,usage,"{""restaurant"",""drinks""}"
516,restaurant,2,B1,leave a tip,Should we ___ for the service?,서비스에 대한 팁을 남겨야 할까요?,팁을 남기다,Should we leave a tip for the service?,Should we leave a tip for the service?,high,collocation,usage,"{""restaurant"",""payment""}"
517,restaurant,2,B1,a side dish,What comes as ___ with this?,이건 무슨 반찬이 나와요?,"곁들임 요리, 사이드 디시",What comes as a side dish with this?,What comes as a side dish with this?,high,collocation,meaning,"{""restaurant"",""ordering""}"
518,restaurant,2,B1,gluten-free,Is this pasta ___?,이 파스타는 글루텐이 없나요?,글루텐 없는,Is this pasta gluten-free?,Is this pasta gluten-free?,high,collocation,usage,"{""restaurant"",""dietary""}"
519,restaurant,2,B1,save a spot,Can you ___ for us?,저희 자리 맡아 주시겠어요?,자리를 맡아두다,Can you save a spot for us?,Can you save a spot for us?,high,collocation,usage,"{""restaurant"",""seating""}"
520,restaurant,2,B1,book a table,I'd like to ___ for Saturday night.,토요일 밤에 자리를 예약하고 싶어요.,자리를 예약하다,I'd like to book a table for Saturday night.,I'd like to book a table for Saturday night.,high,collocation,usage,"{""restaurant"",""booking""}"
521,restaurant,2,B1,order in,Let's just ___ tonight.,오늘은 그냥 배달 시켜 먹어요.,음식을 배달 시켜 먹다,Let's just order in tonight.,Let's just order in tonight.,high,phrasal_verb,usage,"{""restaurant"",""daily""}"
522,restaurant,2,B1,fresh out of,"Sorry, we're ___ the lamb chops.","죄송해요, 양갈비가 다 떨어졌어요.",~이 방금 다 떨어진,"Sorry, we're fresh out of the lamb chops.","Sorry, we're fresh out of the lamb chops.",mid,phrasal_verb,usage,"{""restaurant"",""ordering""}"
523,restaurant,2,B1,go Dutch,Let's ___ this time.,이번엔 더치페이로 해요.,각자 계산하다,Let's go Dutch this time.,Let's go Dutch this time.,high,idiom,meaning,"{""restaurant"",""payment""}"
